uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
385.787,275.737,119.267,414.206,317.217,129.433,50.282,67.140,0,105.061,-85.061
406.565,343.997,131.903,457.906,373.234,144.531,59.082,65.871,1,83.245,-63.245
295.170,492.295,60.311,264.094,478.433,69.248,34.028,60.568,1,76.854,-56.854
47.235,372.654,76.446,11.193,369.381,84.580,36.191,64.667,1,78.591,-58.591
180.063,328.954,105.945,160.210,362.627,112.926,39.090,69.748,1,81.102,-61.102
449.391,220.996,71.468,432.280,188.765,80.245,36.492,62.951,0,99.473,-79.473
327.500,279.321,86.040,363.705,273.937,93.502,36.604,66.954,1,79.462,-59.462
283.105,303.005,133.419,320.517,314.845,139.070,39.240,73.611,0,101.989,-81.989
14.821,363.567,130.183,53.873,425.152,149.216,72.923,60.744,1,83.522,-63.522
175.148,176.463,77.237,171.045,136.102,87.243,40.569,62.289,1,78.861,-58.861
78.202,72.313,114.794,91.769,103.039,119.606,33.588,73.691,1,81.601,-61.601
30.748,151.893,118.908,9.605,88.525,136.387,66.802,60.673,0,96.879,-76.879
436.747,216.347,120.792,457.903,243.607,125.624,34.506,74.057,1,82.027,-62.027
483.312,206.206,70.303,448.138,213.932,78.990,36.013,62.876,1,77.997,-57.997
274.157,389.398,113.337,249.933,408.565,117.471,30.890,74.754,1,81.445,-61.445
468.684,186.980,82.962,442.325,209.405,89.890,34.607,67.357,1,79.120,-59.120
413.009,491.915,87.998,436.494,472.606,93.102,30.404,70.940,1,79.425,-59.425
163.122,438.168,134.489,178.315,370.888,151.145,68.975,62.848,1,83.634,-63.634
71.309,360.288,53.818,55.901,386.586,61.850,30.479,60.475,0,96.908,-76.908
367.276,245.379,111.131,358.406,191.679,123.743,54.427,63.906,1,81.896,-61.896
341.706,434.785,119.701,327.737,482.246,129.522,49.474,67.544,0,101.339,-81.339
295.404,235.823,90.077,322.539,261.779,97.591,37.551,67.370,1,79.834,-59.834
249.323,221.974,89.900,271.876,186.828,99.125,41.760,65.084,1,79.970,-59.970
233.323,427.832,113.403,203.322,461.294,121.983,44.941,68.382,0,86.064,-66.064
72.860,305.757,136.760,117.392,350.987,150.772,63.474,65.103,0,108.233,-88.233
429.266,95.262,98.904,420.994,60.370,105.204,35.859,70.071,0,94.442,-74.442
381.975,391.285,69.928,414.711,386.724,77.346,33.052,64.702,1,77.815,-57.815
236.361,253.437,119.380,273.074,234.011,126.400,41.536,70.816,1,82.081,-62.081
74.843,217.367,108.992,125.805,245.328,123.524,58.129,61.928,0,108.683,-88.683
409.353,150.102,103.174,457.920,131.368,115.562,52.055,63.227,1,81.302,-61.302
150.937,52.940,132.384,177.546,6.650,142.745,53.393,68.035,1,83.137,-63.137
436.382,465.961,85.549,441.758,428.700,93.467,37.647,66.247,0,106.812,-86.812
24.944,273.754,104.914,62.097,298.363,113.987,44.564,66.986,0,93.239,-73.239
363.845,192.769,108.697,399.061,168.597,116.788,42.714,68.547,1,81.394,-61.394
251.285,350.249,80.998,225.040,378.929,89.844,38.876,64.361,1,79.116,-59.116
221.596,473.638,90.576,272.913,473.405,104.103,51.317,60.466,1,80.395,-60.395
73.159,152.808,65.973,41.584,168.352,74.773,35.194,61.922,1,77.521,-57.521
440.642,96.106,114.507,466.851,136.122,124.098,47.836,67.327,1,81.921,-61.921
228.761,389.325,112.096,197.802,428.770,122.800,50.144,65.900,1,81.830,-61.830
411.463,216.893,139.398,402.904,178.684,144.793,39.157,74.310,1,83.261,-63.261
189.361,135.176,81.465,195.781,181.157,93.766,46.427,60.321,0,96.557,-76.557
392.114,315.261,76.997,364.207,328.940,83.033,31.079,68.019,0,104.261,-84.261
130.350,90.827,83.893,127.542,129.062,92.238,38.338,65.440,1,79.344,-59.344
216.949,11.481,115.305,200.127,47.846,122.068,40.068,70.838,0,102.776,-82.776
244.267,419.784,125.740,213.517,446.387,132.151,40.661,72.080,1,82.467,-62.467
91.345,366.400,116.439,121.865,387.432,122.196,37.066,72.342,0,94.478,-74.478
112.301,385.586,79.457,130.205,422.538,89.440,41.061,62.672,0,86.137,-66.137
87.571,75.083,89.287,51.157,87.637,97.241,38.517,66.665,1,79.803,-59.803
332.151,239.439,89.593,286.828,250.364,100.997,46.621,62.509,1,80.132,-60.132
424.764,379.742,99.725,375.924,358.079,113.136,53.429,61.820,0,107.641,-87.641
230.479,179.240,122.861,180.843,152.298,135.220,56.476,65.313,1,82.667,-62.667
187.578,237.658,129.804,151.844,211.100,137.227,44.523,71.068,0,102.467,-82.467
388.682,488.020,133.302,418.590,464.483,138.629,38.059,74.065,0,112.135,-92.135
467.492,0.286,78.821,498.749,0.008,84.793,31.258,68.368,1,78.613,-58.613
263.846,298.451,130.212,305.635,283.945,137.521,44.235,71.236,0,97.681,-77.681
52.898,451.134,122.580,39.969,484.891,127.799,36.148,73.569,1,82.177,-62.177
85.753,206.954,116.420,29.909,215.096,129.377,56.435,64.138,0,108.951,-88.951
331.867,66.858,84.312,363.022,88.419,92.434,37.889,65.802,1,79.363,-59.363
200.640,274.349,67.336,226.102,246.949,77.027,37.404,60.948,1,77.779,-57.779
455.808,308.638,129.658,481.804,334.559,134.755,36.711,74.191,0,103.129,-83.129
169.327,423.035,118.660,188.331,394.280,123.565,34.468,73.803,1,81.884,-61.884
437.753,168.168,113.842,494.578,173.564,127.351,57.081,63.371,1,82.146,-62.146
192.627,326.507,92.931,229.241,321.744,99.997,36.923,68.331,1,80.046,-60.046
425.433,445.367,99.540,388.366,413.428,110.916,48.929,63.824,0,88.370,-68.370
114.940,393.444,135.147,146.821,351.919,144.933,52.352,68.825,0,105.617,-85.617
413.713,109.170,117.077,454.788,92.200,125.228,44.443,69.213,1,82.000,-62.000
291.901,348.475,122.478,324.381,372.998,129.063,40.699,71.619,1,82.262,-62.262
386.461,256.069,95.543,429.529,260.790,104.907,43.326,65.607,0,93.779,-73.779
95.799,84.590,130.448,69.196,126.421,139.550,49.573,69.192,1,82.941,-62.941
190.839,440.512,130.231,170.041,489.471,140.676,53.193,67.782,0,94.991,-74.991
200.834,344.336,130.618,208.832,395.548,140.526,51.833,68.355,1,83.001,-63.001
195.502,111.243,123.531,174.970,71.185,131.476,45.013,69.979,1,82.423,-62.423
55.045,141.676,120.403,29.184,115.503,125.900,36.795,73.007,0,97.641,-77.641
377.023,284.074,121.287,414.081,227.697,138.789,67.466,60.915,0,103.182,-83.182
495.942,335.805,107.561,457.688,296.102,120.868,55.133,62.861,1,81.692,-61.692
