uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
63.510,56.701,101.364,320.247,232.517,327.261,311.167,18.043,0,111.317,-91.317
461.543,74.352,110.911,284.381,155.916,224.367,195.037,29.626,0,102.109,-82.109
327.675,209.664,113.533,227.556,393.277,237.965,209.135,28.496,0,97.610,-77.610
263.532,96.981,101.331,326.735,233.362,181.280,150.314,33.985,0,99.945,-79.945
391.478,52.964,105.517,270.554,324.616,315.517,297.351,19.538,0,114.804,-94.804
245.772,172.695,93.284,32.324,279.627,256.313,238.736,21.343,0,99.829,-79.829
410.014,359.423,99.287,75.995,405.364,351.479,337.164,16.409,0,110.428,-90.428
123.370,6.466,101.978,112.008,245.188,259.840,238.992,23.108,0,103.837,-83.837
394.427,121.592,51.261,122.055,152.319,278.852,274.100,10.593,0,110.821,-90.821
180.938,449.036,92.577,96.909,240.191,243.408,225.116,22.354,0,100.498,-80.498
67.691,137.926,70.161,254.813,254.465,231.341,220.445,17.655,0,102.468,-82.468
321.048,334.692,76.130,156.168,368.206,184.674,168.251,24.346,1,85.374,-65.374
382.495,436.881,63.685,57.382,441.415,331.323,325.145,11.082,0,116.699,-96.699
205.591,435.283,117.882,102.574,186.369,294.053,269.390,23.634,0,116.711,-96.711
359.848,416.608,82.967,27.767,318.562,356.054,346.253,13.475,0,109.115,-89.115
442.859,2.755,123.872,369.442,156.607,210.724,170.471,36.004,0,105.395,-85.395
101.091,465.268,103.713,282.939,227.455,316.828,299.372,19.108,1,90.062,-70.062
142.619,314.478,99.919,355.877,428.668,261.729,241.906,22.443,0,104.298,-84.298
296.838,407.788,78.860,80.246,455.103,235.307,221.699,19.581,0,112.980,-92.980
181.438,186.525,52.769,227.996,184.172,70.412,46.618,48.542,1,76.999,-56.999
280.172,352.048,47.453,157.327,364.473,132.277,123.472,21.023,1,82.476,-62.476
26.465,182.842,54.837,259.454,369.101,303.288,298.289,10.417,0,118.540,-98.540
487.809,262.124,127.537,264.487,182.519,269.213,237.086,28.277,0,118.715,-98.715
