uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
364.045,392.146,103.424,247.732,222.336,230.349,205.826,26.679,0,119.428,-99.428
198.898,225.325,43.448,467.147,204.001,272.581,269.096,9.172,0,102.919,-82.919
392.781,108.127,94.249,363.417,324.023,237.395,217.884,23.392,0,90.412,-70.412
277.361,20.376,65.098,176.260,19.643,120.248,101.103,32.777,0,103.632,-83.632
378.687,466.441,106.079,255.539,247.408,272.753,251.279,22.887,0,112.903,-92.903
413.672,154.040,103.669,126.307,42.257,325.302,308.341,18.583,1,90.292,-70.292
434.014,338.483,89.733,350.274,305.184,127.174,90.118,44.877,0,96.431,-76.431
314.507,99.431,131.326,92.106,60.694,261.169,225.750,30.188,0,114.223,-94.223
179.471,331.919,101.927,226.687,131.859,229.439,205.556,26.375,0,107.748,-87.748
188.292,183.528,132.603,62.126,484.960,352.650,326.770,22.087,0,114.251,-94.251
307.472,251.659,60.328,498.875,274.261,201.954,192.733,17.381,1,86.151,-66.151
314.864,445.061,85.641,67.089,351.168,278.465,264.968,17.912,0,99.819,-79.819
414.765,109.543,72.518,391.085,292.365,198.100,184.349,21.473,1,85.984,-65.984
304.634,396.166,110.670,25.225,280.772,321.921,302.299,20.107,0,119.576,-99.576
241.936,403.832,108.993,28.220,312.723,256.623,232.326,25.133,0,104.133,-84.133
441.083,176.285,93.070,435.828,30.637,172.924,145.743,32.562,0,103.090,-83.090
309.845,482.626,128.746,325.169,446.472,134.602,39.268,73.038,0,102.572,-82.572
208.457,263.965,95.397,3.852,25.994,328.015,313.837,16.908,0,103.663,-83.663
313.330,185.706,45.186,22.341,186.536,294.478,290.990,8.827,0,108.798,-88.798
73.449,383.041,132.551,186.547,328.889,182.465,125.393,46.590,0,106.025,-86.025
20.971,19.023,109.335,63.035,224.718,236.715,209.951,27.509,0,111.647,-91.647
396.553,360.692,139.000,316.774,344.335,161.100,81.439,59.634,0,100.213,-80.213
400.769,61.583,51.972,258.134,141.053,171.351,163.279,17.656,0,102.048,-82.048
399.019,220.171,85.963,87.317,272.490,327.544,316.062,15.215,1,90.351,-70.351
434.862,370.310,114.405,268.292,366.144,202.118,166.623,34.474,1,86.158,-66.158
438.539,192.169,124.595,102.954,92.982,371.456,349.936,19.598,0,113.678,-93.678
23.530,373.604,101.713,190.501,308.580,206.041,179.185,29.581,0,100.571,-80.571
85.066,383.704,96.476,313.120,328.314,253.741,234.684,22.347,0,99.451,-79.451
68.042,381.334,86.740,168.911,318.659,147.060,118.755,36.145,0,106.265,-86.265
432.305,85.088,87.230,471.145,224.818,169.240,145.028,31.026,1,84.616,-64.616
333.868,119.886,125.999,109.831,33.051,271.309,240.277,27.672,0,95.284,-75.284
330.812,77.001,89.905,91.308,238.513,302.541,288.874,17.287,0,111.569,-91.569
82.615,169.749,50.668,346.950,240.477,278.285,273.633,10.491,0,106.251,-86.251
322.273,391.129,77.415,278.655,298.881,128.083,102.040,37.187,0,104.563,-84.563
484.644,375.326,109.138,225.429,489.869,303.683,283.395,21.062,0,109.454,-89.454
346.402,374.306,55.511,432.868,383.315,103.145,86.934,32.560,0,104.284,-84.284
97.969,315.738,113.024,245.423,144.638,252.571,225.871,26.583,0,103.597,-83.597
339.038,122.673,65.270,104.340,308.294,306.266,299.230,12.305,0,112.212,-92.212
201.563,95.042,134.453,240.277,123.676,142.815,48.152,70.296,0,100.916,-80.916
470.174,443.370,66.780,351.631,401.442,142.373,125.740,27.973,0,101.857,-81.857
277.267,276.528,91.481,219.849,176.933,146.918,114.962,38.511,0,102.423,-82.423
55.019,267.786,61.045,331.615,383.516,305.982,299.831,11.508,0,111.846,-91.846
189.004,320.606,58.444,248.121,113.941,222.758,214.954,15.210,0,105.410,-85.410
486.130,483.523,118.732,264.783,368.351,276.326,249.517,25.447,0,109.487,-89.487
305.751,99.064,127.362,143.717,378.960,347.589,323.415,21.495,0,111.012,-91.012
135.574,212.870,133.915,381.481,443.383,362.684,337.056,21.668,0,121.667,-101.667
53.822,163.974,77.900,197.662,349.098,247.042,234.438,18.381,0,107.881,-87.881
484.869,399.161,58.971,215.051,435.103,278.516,272.201,12.224,0,110.557,-90.557
432.534,68.557,66.315,332.057,384.625,338.219,331.654,11.307,0,110.546,-90.546
148.216,277.494,104.059,470.679,399.475,360.124,344.763,16.795,0,112.508,-92.508
213.801,484.686,44.813,138.760,189.338,308.010,304.732,8.366,0,109.165,-89.165
117.244,300.596,58.483,426.141,293.160,314.473,308.987,10.718,0,112.488,-92.488
252.924,450.365,130.387,489.469,494.091,273.617,240.553,28.459,0,100.061,-80.061
344.020,60.784,42.381,79.639,57.880,267.772,264.396,9.107,0,111.203,-91.203
132.564,18.615,93.869,177.883,123.289,147.722,114.063,39.453,1,83.435,-63.435
224.855,454.516,67.629,155.757,210.753,262.238,253.368,14.945,0,111.769,-91.769
256.668,326.647,86.743,246.027,164.537,184.166,162.459,28.100,1,85.350,-65.350
285.741,471.573,129.342,416.318,492.347,184.963,132.219,44.370,0,98.505,-78.505
446.675,35.542,51.347,418.282,12.895,62.893,36.318,54.728,0,80.963,-60.963
277.505,106.550,115.906,289.234,267.217,198.459,161.095,35.735,1,85.999,-65.999
136.087,321.348,98.257,403.345,169.712,322.606,307.278,17.732,0,107.836,-87.836
250.958,67.923,122.379,499.360,37.125,278.619,250.304,26.055,0,113.577,-93.577
476.883,454.399,65.303,286.938,202.494,322.180,315.492,11.694,0,106.417,-86.417
130.690,88.937,133.074,269.357,381.740,350.244,323.979,22.330,0,115.639,-95.639
294.236,328.356,105.118,107.349,164.549,269.832,248.514,22.928,0,110.739,-90.739
293.973,252.746,123.489,201.080,214.811,159.116,100.341,50.904,0,105.285,-85.285
341.234,354.483,129.839,255.095,401.447,162.738,98.110,52.924,0,103.875,-83.875
174.370,478.947,75.381,227.308,281.601,217.784,204.322,20.251,0,98.689,-78.689
438.854,163.288,59.394,332.250,80.752,147.323,134.820,23.776,1,83.411,-63.411
376.057,467.966,81.982,169.539,277.684,292.537,280.814,16.275,0,106.553,-86.553
315.011,451.914,104.493,1.347,492.880,333.140,316.328,18.280,0,100.469,-80.469
270.689,161.339,131.714,210.295,361.820,247.363,209.380,32.173,0,113.912,-93.912
170.172,457.558,43.936,109.419,427.497,80.777,67.783,32.951,0,99.977,-79.977
50.778,309.318,46.183,323.653,160.638,314.164,310.751,8.453,0,109.086,-89.086
213.503,429.511,61.471,493.358,414.490,286.919,280.257,12.371,0,107.796,-87.796
366.655,21.583,109.667,455.681,346.136,353.959,336.541,18.049,0,112.027,-92.027
200.454,177.468,130.454,281.286,114.392,165.924,102.530,51.834,0,102.871,-82.871
59.731,369.876,112.861,372.906,466.927,346.749,327.868,18.995,0,106.417,-86.417
463.905,12.915,59.187,439.503,336.086,329.450,324.090,10.350,0,106.758,-86.758
203.456,92.066,125.303,315.557,346.970,305.358,278.465,24.227,0,102.093,-82.093
277.337,314.845,119.746,372.076,205.667,187.708,144.552,39.638,0,110.845,-90.845
37.973,146.797,92.905,132.759,296.066,199.743,176.821,27.718,0,109.842,-89.842
310.449,309.025,138.427,436.168,246.281,197.241,140.506,44.573,0,121.681,-101.681
163.818,182.949,92.676,68.305,400.375,254.922,237.479,21.318,0,108.619,-88.619
137.273,392.516,68.478,318.512,180.663,287.085,278.799,13.800,0,105.049,-85.049
308.018,255.655,92.089,370.458,296.594,118.554,74.664,50.965,1,81.524,-61.524
133.331,82.671,53.767,206.690,252.744,192.867,185.220,16.187,0,101.677,-81.677
485.336,263.680,135.057,361.739,385.620,219.967,173.624,37.878,0,105.421,-85.421
248.383,162.511,68.925,153.849,153.014,117.377,95.009,35.959,1,81.438,-61.438
127.582,285.492,95.948,380.768,61.309,351.521,338.173,15.840,0,121.126,-101.126
422.166,480.015,98.940,412.687,285.267,218.645,194.978,26.905,0,94.849,-74.849
372.894,341.276,127.152,486.454,124.037,276.145,245.130,27.416,0,112.243,-92.243
87.663,70.000,94.287,20.135,142.682,136.868,99.211,43.542,0,101.099,-81.099
486.175,203.702,77.413,372.814,63.210,196.422,180.523,23.211,0,109.461,-89.461
190.288,205.776,107.949,233.426,51.305,193.327,160.381,33.944,0,107.515,-87.515
155.162,25.686,137.097,94.360,306.686,318.518,287.503,25.494,0,105.405,-85.405
287.172,427.703,107.909,120.763,310.253,230.501,203.682,27.914,0,104.739,-84.739
303.753,141.027,100.872,306.975,461.765,336.241,320.754,17.457,0,115.681,-95.681
243.791,454.730,131.622,253.188,399.854,142.913,55.675,67.072,0,101.011,-81.011
368.798,477.302,62.753,422.982,379.065,128.547,112.189,29.220,0,99.308,-79.308
386.650,36.828,112.250,300.627,269.557,272.328,248.119,24.342,0,109.546,-89.546
322.884,181.785,82.802,422.747,188.609,129.905,100.096,39.598,0,102.669,-82.669
388.141,191.204,94.767,414.810,368.245,202.573,179.039,27.893,0,102.116,-82.116
341.677,204.474,102.475,358.965,57.024,180.392,148.460,34.616,1,85.170,-65.170
458.178,88.806,58.478,396.458,173.253,119.835,104.598,29.208,0,111.884,-91.884
20.047,169.746,84.117,24.000,467.958,309.874,298.239,15.751,0,124.961,-104.961
333.231,382.672,108.787,381.982,390.623,119.476,49.395,65.579,0,109.480,-89.480
186.586,227.624,73.999,12.274,1.557,294.901,285.466,14.532,0,102.435,-82.435
247.337,279.547,116.981,1.413,371.524,287.442,262.561,24.015,0,106.596,-86.596
446.946,159.350,102.325,413.016,205.038,117.086,56.909,60.919,0,110.972,-90.972
71.067,419.005,136.341,384.270,323.321,354.740,327.493,22.603,0,107.086,-87.086
139.810,115.644,135.912,110.421,253.350,195.701,140.807,43.986,0,103.652,-83.652
146.315,425.485,46.932,101.892,287.501,152.367,144.959,17.940,0,103.720,-83.720
